               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073893,           0.0062431,            0.014748,             0.43291,             0.38356,              0.3413,               0.133,            0.055784,           0.0043576,           0.0092098,            0.003331,            0.003331,            0.070021
                   1,            0.052077,           0.0053033,           0.0039466,             0.48179,             0.38814,              0.3626,             0.14509,            0.053402,           0.0040932,           0.0093622,           0.0066642,           0.0066642,            0.040021
                   2,            0.051767,           0.0050789,           0.0063602,             0.42187,              0.3705,             0.32546,             0.13472,            0.054784,           0.0039305,            0.014499,           0.0099968,           0.0099968,             0.01002
                   3,            0.053777,           0.0048002,           0.0095848,             0.46337,             0.37088,             0.34644,             0.13251,            0.053478,           0.0036055,             0.01256,            0.009998,            0.009998,            0.009998
                   4,            0.052569,           0.0045947,           0.0089852,             0.51393,             0.39755,             0.37478,             0.15047,            0.052599,           0.0034087,             0.01142,            0.009998,            0.009998,            0.009998
                   5,            0.051675,           0.0044778,           0.0085988,             0.50004,             0.40516,             0.38575,             0.16166,            0.051895,           0.0034363,            0.011216,           0.0099965,           0.0099965,           0.0099965
                   6,            0.051112,           0.0044678,           0.0085554,             0.49334,             0.42853,             0.39587,             0.17225,            0.050836,           0.0034108,            0.012229,           0.0099945,           0.0099945,           0.0099945
                   7,            0.050287,            0.004415,            0.008191,             0.50556,             0.45831,             0.41943,             0.18368,             0.05075,           0.0032969,             0.01059,           0.0099921,           0.0099921,           0.0099921
                   8,            0.050158,           0.0043484,           0.0080021,             0.57228,             0.44348,             0.43497,             0.18852,            0.050512,           0.0032742,            0.011704,           0.0099893,           0.0099893,           0.0099893
                   9,             0.04982,           0.0042755,           0.0079736,              0.6481,             0.42243,             0.45416,             0.20012,            0.049745,           0.0032753,            0.011488,            0.009986,            0.009986,            0.009986
                  10,            0.049324,           0.0042992,           0.0077406,             0.56917,             0.44965,             0.44803,             0.20234,            0.049208,            0.003226,              0.0104,           0.0099822,           0.0099822,           0.0099822
                  11,            0.049204,           0.0042856,           0.0073831,             0.52229,              0.4272,             0.40263,             0.18212,            0.049034,           0.0032401,            0.010194,           0.0099781,           0.0099781,           0.0099781
                  12,            0.048849,           0.0043001,           0.0074314,             0.63846,             0.43739,             0.47001,             0.21235,            0.048761,           0.0032318,            0.010916,           0.0099735,           0.0099735,           0.0099735
                  13,            0.048749,           0.0042654,           0.0072934,             0.58075,             0.46566,             0.46465,             0.21139,            0.048424,           0.0031934,            0.010002,           0.0099685,           0.0099685,           0.0099685
                  14,             0.04849,           0.0042918,           0.0069952,              0.5485,             0.48824,             0.45306,             0.20354,               0.048,           0.0032606,            0.010751,            0.009963,            0.009963,            0.009963
                  15,            0.048266,           0.0042333,           0.0069618,             0.53552,             0.45801,             0.44401,             0.20632,            0.047888,           0.0032525,            0.010016,           0.0099571,           0.0099571,           0.0099571
                  16,            0.048133,           0.0041945,           0.0070673,             0.57542,             0.48146,             0.48262,              0.2274,             0.04771,           0.0031087,           0.0094102,           0.0099508,           0.0099508,           0.0099508
                  17,            0.047915,           0.0041767,           0.0068921,              0.5717,             0.48142,             0.47557,             0.22343,             0.04762,           0.0031445,            0.010167,            0.009944,            0.009944,            0.009944
                  18,            0.047672,           0.0042266,           0.0068674,             0.57822,             0.48971,             0.47842,             0.22088,            0.047118,            0.003141,            0.010418,           0.0099368,           0.0099368,           0.0099368
                  19,            0.047537,           0.0042736,           0.0067911,             0.59694,               0.478,             0.48225,             0.23536,            0.046801,           0.0031224,           0.0099874,           0.0099291,           0.0099291,           0.0099291
                  20,            0.047523,           0.0041717,           0.0067971,             0.58331,             0.49944,             0.49742,             0.23578,            0.046597,           0.0031061,           0.0094313,           0.0099211,           0.0099211,           0.0099211
                  21,            0.047534,           0.0041874,           0.0068057,             0.64588,             0.47732,              0.5024,             0.24777,            0.046289,           0.0030642,           0.0090398,           0.0099126,           0.0099126,           0.0099126
                  22,            0.047539,           0.0042201,           0.0067295,              0.5898,             0.49999,             0.49684,             0.23901,            0.046543,           0.0030928,           0.0096051,           0.0099037,           0.0099037,           0.0099037
                  23,            0.047095,            0.004173,            0.006608,             0.60917,              0.5045,             0.50054,             0.24189,            0.045913,           0.0030791,           0.0093893,           0.0098943,           0.0098943,           0.0098943
                  24,            0.047142,           0.0041696,           0.0066059,             0.62677,             0.49066,             0.50823,             0.24801,            0.045589,           0.0030651,           0.0087735,           0.0098845,           0.0098845,           0.0098845
                  25,            0.047025,           0.0041732,           0.0066347,             0.62594,             0.49239,             0.50675,             0.24622,            0.045649,           0.0030587,           0.0090331,           0.0098743,           0.0098743,           0.0098743
                  26,            0.046875,           0.0041648,           0.0065025,             0.63773,             0.49263,             0.51331,             0.24612,            0.045526,           0.0030355,           0.0089047,           0.0098637,           0.0098637,           0.0098637
                  27,            0.046643,           0.0041804,           0.0064677,             0.61699,             0.52877,             0.51865,             0.25006,            0.045371,           0.0030383,           0.0085988,           0.0098527,           0.0098527,           0.0098527
                  28,            0.046879,           0.0041853,           0.0063601,             0.61599,             0.52523,             0.52051,             0.25583,            0.045176,           0.0030222,           0.0085818,           0.0098412,           0.0098412,           0.0098412
                  29,            0.046318,           0.0041714,           0.0064983,             0.61007,              0.5238,             0.52162,             0.25599,            0.045079,           0.0030096,           0.0084964,           0.0098293,           0.0098293,           0.0098293
                  30,            0.046521,           0.0041141,           0.0063931,             0.66418,             0.49929,             0.51998,             0.25837,            0.044705,           0.0030045,           0.0082727,            0.009817,            0.009817,            0.009817
                  31,            0.046442,           0.0041824,           0.0062703,             0.64392,              0.5212,              0.5349,             0.26243,            0.044687,           0.0029852,           0.0084713,           0.0098042,           0.0098042,           0.0098042
                  32,            0.046349,           0.0041682,           0.0062834,             0.64568,             0.50572,             0.52807,             0.26594,            0.044461,           0.0029911,           0.0086515,           0.0097911,           0.0097911,           0.0097911
                  33,            0.046487,           0.0042047,           0.0061892,             0.62948,             0.52749,             0.53823,             0.26566,            0.044031,           0.0030022,           0.0084242,           0.0097775,           0.0097775,           0.0097775
                  34,            0.046057,           0.0041339,            0.006193,             0.62482,             0.53141,             0.54428,             0.26966,            0.044084,           0.0029838,           0.0082277,           0.0097635,           0.0097635,           0.0097635
                  35,            0.046302,           0.0041521,           0.0063402,             0.63739,             0.51869,             0.54063,             0.26404,            0.044129,           0.0029878,            0.008157,           0.0097491,           0.0097491,           0.0097491
                  36,            0.045926,           0.0041379,           0.0059541,             0.64208,             0.51722,             0.54496,             0.27054,            0.043946,           0.0029786,           0.0081203,           0.0097343,           0.0097343,           0.0097343
                  37,            0.046169,           0.0041725,           0.0060929,             0.61979,              0.5498,             0.54968,             0.27231,            0.043944,           0.0029742,           0.0080517,           0.0097191,           0.0097191,           0.0097191
                  38,            0.045612,           0.0041478,            0.006192,             0.62979,             0.54946,             0.55341,             0.27663,              0.0438,           0.0029581,           0.0079725,           0.0097035,           0.0097035,           0.0097035
                  39,            0.046182,           0.0041223,           0.0062866,             0.68021,             0.52243,              0.5547,              0.2776,            0.043787,           0.0029532,           0.0078456,           0.0096875,           0.0096875,           0.0096875
                  40,            0.045695,           0.0041296,           0.0061214,             0.65248,             0.54292,             0.55516,              0.2779,            0.043641,           0.0029551,           0.0075771,            0.009671,            0.009671,            0.009671
                  41,            0.045642,           0.0041411,           0.0058829,             0.63195,             0.56339,             0.56075,             0.27915,            0.043418,           0.0029461,           0.0076875,           0.0096542,           0.0096542,           0.0096542
                  42,            0.045876,           0.0041508,           0.0060482,             0.67256,             0.53425,             0.56289,             0.27951,            0.043279,           0.0029373,           0.0077757,           0.0096369,           0.0096369,           0.0096369
                  43,            0.045522,           0.0041514,            0.005951,             0.64497,             0.55602,             0.56175,             0.27934,            0.043154,           0.0029321,           0.0078143,           0.0096193,           0.0096193,           0.0096193
                  44,            0.045438,           0.0041461,           0.0058961,             0.66281,             0.54996,             0.56444,             0.28219,            0.043107,           0.0029249,           0.0077003,           0.0096013,           0.0096013,           0.0096013
                  45,            0.045488,           0.0041507,           0.0058343,             0.64823,             0.56648,             0.56702,             0.28403,             0.04303,           0.0029263,            0.007643,           0.0095828,           0.0095828,           0.0095828
                  46,            0.045499,           0.0041532,            0.006065,             0.66473,             0.55712,             0.56748,             0.28624,            0.043003,           0.0029177,           0.0076664,            0.009564,            0.009564,            0.009564
                  47,            0.045558,           0.0041533,           0.0057933,             0.66666,             0.55082,             0.56485,              0.2858,            0.042953,           0.0029141,           0.0077244,           0.0095448,           0.0095448,           0.0095448
                  48,            0.045424,            0.004157,           0.0058885,             0.65298,             0.56322,             0.56523,             0.28777,            0.042919,            0.002916,           0.0077346,           0.0095252,           0.0095252,           0.0095252
                  49,            0.045599,           0.0041522,           0.0059056,             0.66318,             0.55822,             0.56827,             0.28899,            0.042871,           0.0029138,           0.0076713,           0.0095052,           0.0095052,           0.0095052
                  50,            0.045472,            0.004144,            0.005845,             0.66731,             0.55134,             0.56832,             0.29055,            0.042807,           0.0029126,           0.0076892,           0.0094849,           0.0094849,           0.0094849
