               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10654,            0.096662,            0.027724,          0.00052109,           0.0072246,           0.0002342,          5.9183e-05,             0.10078,            0.095836,            0.024018,              0.0007,              0.0007,              0.0937
                   1,             0.10291,            0.092512,            0.020856,            0.012101,             0.01122,           0.0030458,          0.00075043,             0.10167,            0.089026,            0.022993,             0.00141,             0.00141,             0.08731
                   2,            0.094466,            0.081172,            0.018964,             0.56379,            0.099564,            0.038023,           0.0089804,            0.085253,            0.077797,            0.020917,           0.0021198,           0.0021198,             0.08092
                   3,            0.087136,            0.075543,            0.015914,             0.64833,             0.14583,             0.10123,            0.029426,            0.075788,            0.068889,            0.016143,           0.0028294,           0.0028294,            0.074529
                   4,             0.08143,            0.072353,            0.012698,             0.67038,             0.20123,              0.1359,            0.039674,            0.072782,            0.067541,            0.016063,           0.0035388,           0.0035388,            0.068139
                   5,            0.077234,            0.071298,            0.010878,             0.76938,             0.22913,             0.23586,            0.080075,            0.065648,             0.06383,            0.015732,           0.0042477,           0.0042477,            0.061748
                   6,            0.073234,            0.069991,           0.0097088,             0.74443,             0.26016,             0.20373,            0.069109,             0.06386,             0.06206,             0.01736,           0.0049561,           0.0049561,            0.055356
                   7,            0.069402,            0.066858,           0.0086896,              0.8131,             0.28931,             0.28865,              0.1111,            0.060274,            0.059973,            0.011286,           0.0056639,           0.0056639,            0.048964
                   8,            0.066446,            0.065726,              0.0077,             0.80943,             0.33114,             0.31299,             0.13074,            0.056226,            0.057495,            0.010364,            0.006371,            0.006371,            0.042571
                   9,            0.063368,            0.064646,            0.007088,             0.84438,             0.31129,             0.33811,             0.14564,            0.055114,            0.060071,            0.011332,           0.0070774,           0.0070774,            0.036177
                  10,            0.061003,            0.063387,           0.0065805,             0.90998,             0.34395,             0.39017,             0.17251,            0.052143,            0.054281,           0.0079993,           0.0077829,           0.0077829,            0.029783
                  11,            0.058563,            0.061747,           0.0060026,             0.68925,             0.39059,              0.4017,             0.17769,            0.050917,            0.053227,           0.0088139,           0.0084874,           0.0084874,            0.023387
                  12,            0.056466,            0.061335,           0.0056095,             0.73787,             0.39035,             0.42284,             0.20909,            0.049384,            0.053285,           0.0066612,           0.0091909,           0.0091909,            0.016991
                  13,            0.054672,            0.060046,           0.0053155,             0.77604,             0.37146,             0.42291,             0.20138,            0.048537,            0.053152,           0.0069827,           0.0098933,           0.0098933,            0.010593
                  14,             0.05316,            0.059708,           0.0048551,             0.74867,             0.35657,             0.40435,             0.20178,            0.050167,            0.054143,            0.011025,           0.0099571,           0.0099571,           0.0099571
                  15,            0.051721,            0.057687,            0.004593,             0.70825,             0.37844,               0.437,             0.21043,            0.047545,            0.051238,           0.0093871,           0.0099571,           0.0099571,           0.0099571
                  16,            0.050192,             0.05778,           0.0042532,             0.51273,              0.4625,             0.46287,             0.22676,            0.046163,            0.051174,           0.0095927,           0.0099508,           0.0099508,           0.0099508
                  17,             0.04969,            0.055945,           0.0039953,             0.56678,             0.48169,             0.49189,             0.25504,            0.043922,            0.049291,           0.0062206,            0.009944,            0.009944,            0.009944
                  18,            0.048746,            0.056512,           0.0037782,             0.59417,             0.49829,             0.52063,             0.25951,            0.043782,            0.049075,           0.0048199,           0.0099368,           0.0099368,           0.0099368
                  19,            0.048257,             0.05657,           0.0035928,              0.4799,             0.49986,              0.4855,             0.24424,            0.043981,            0.049964,           0.0066863,           0.0099291,           0.0099291,           0.0099291
                  20,            0.047948,            0.055557,            0.003547,             0.55334,             0.52655,             0.51898,             0.27178,            0.042615,             0.04832,            0.005687,           0.0099211,           0.0099211,           0.0099211
                  21,            0.047467,            0.055878,           0.0034304,             0.58628,             0.55373,             0.55694,             0.27868,             0.04266,            0.048683,           0.0043494,           0.0099126,           0.0099126,           0.0099126
                  22,            0.046841,            0.055172,           0.0032079,             0.62533,             0.53866,             0.55904,             0.27886,            0.042749,            0.048434,           0.0051497,           0.0099037,           0.0099037,           0.0099037
                  23,            0.046766,            0.054981,           0.0031127,              0.6779,             0.50854,             0.55173,              0.2834,             0.04205,            0.048047,           0.0044561,           0.0098943,           0.0098943,           0.0098943
                  24,            0.046142,            0.054643,           0.0029622,             0.61433,             0.53318,              0.5546,             0.28424,            0.041777,            0.047732,           0.0047311,           0.0098845,           0.0098845,           0.0098845
                  25,            0.045494,            0.053869,           0.0029669,             0.56452,             0.58153,             0.57612,             0.29534,            0.041025,            0.047622,           0.0039229,           0.0098743,           0.0098743,           0.0098743
                  26,            0.045504,            0.053554,           0.0029391,              0.6915,             0.51423,              0.5644,             0.29514,             0.04166,             0.04766,            0.004635,           0.0098637,           0.0098637,           0.0098637
                  27,            0.045589,            0.054537,           0.0028221,             0.66419,             0.55193,             0.58911,               0.305,            0.041061,            0.047523,            0.004967,           0.0098527,           0.0098527,           0.0098527
                  28,            0.045003,            0.053542,            0.002818,             0.68904,             0.56024,              0.6043,              0.3116,             0.04056,            0.046901,           0.0040825,           0.0098412,           0.0098412,           0.0098412
                  29,            0.045034,            0.053115,           0.0026921,             0.63424,             0.60342,             0.61237,              0.3087,             0.04065,            0.047148,           0.0033043,           0.0098293,           0.0098293,           0.0098293
                  30,            0.044485,            0.052451,           0.0026613,             0.66176,             0.59595,              0.6141,             0.31159,            0.040587,            0.047289,           0.0043389,            0.009817,            0.009817,            0.009817
                  31,            0.044496,            0.052929,           0.0025708,             0.62917,             0.60652,             0.60414,             0.30928,            0.040957,              0.0468,           0.0043895,           0.0098042,           0.0098042,           0.0098042
                  32,            0.044078,            0.052529,           0.0026233,             0.64011,             0.57416,             0.60088,             0.31618,            0.040362,            0.047095,           0.0054658,           0.0097911,           0.0097911,           0.0097911
                  33,             0.04393,            0.052318,           0.0025156,             0.69194,             0.58136,             0.61834,             0.32121,            0.039931,            0.046874,           0.0033162,           0.0097775,           0.0097775,           0.0097775
                  34,            0.043882,            0.052391,           0.0025468,             0.67844,              0.5904,             0.61496,             0.31546,            0.039895,            0.046807,           0.0034871,           0.0097635,           0.0097635,           0.0097635
                  35,            0.043838,            0.052207,           0.0023895,             0.69177,             0.59872,             0.63908,             0.32756,            0.039853,            0.046574,           0.0041243,           0.0097491,           0.0097491,           0.0097491
                  36,             0.04334,            0.052602,           0.0023841,             0.67973,             0.62722,             0.63884,             0.32605,            0.039707,            0.046389,           0.0036986,           0.0097343,           0.0097343,           0.0097343
                  37,            0.043407,            0.051604,           0.0023519,             0.67984,             0.62658,             0.64973,             0.33423,            0.039403,            0.046235,           0.0033888,           0.0097191,           0.0097191,           0.0097191
                  38,            0.043444,            0.052385,           0.0022769,             0.73774,             0.59185,             0.64276,             0.33508,            0.039254,            0.046446,           0.0034904,           0.0097035,           0.0097035,           0.0097035
                  39,            0.043141,            0.051732,           0.0022872,             0.70635,              0.6355,             0.65756,             0.33747,            0.039255,            0.046024,            0.003533,           0.0096875,           0.0096875,           0.0096875
                  40,              0.0429,              0.0511,           0.0022858,             0.70345,             0.62028,             0.64542,             0.34264,              0.0391,            0.046296,           0.0034438,            0.009671,            0.009671,            0.009671
                  41,            0.042863,             0.05172,           0.0022238,             0.66699,             0.62785,             0.64871,             0.34099,            0.038844,            0.046045,           0.0037587,           0.0096542,           0.0096542,           0.0096542
                  42,            0.042825,            0.051487,           0.0021839,             0.72411,             0.63125,             0.66337,             0.34725,            0.038936,            0.045926,           0.0032245,           0.0096369,           0.0096369,           0.0096369
                  43,            0.042522,            0.051278,           0.0021995,             0.71418,             0.59862,             0.63602,             0.33536,            0.038867,            0.046359,           0.0042008,           0.0096193,           0.0096193,           0.0096193
                  44,            0.042641,            0.051506,            0.002234,             0.75672,             0.63146,             0.67584,             0.34831,            0.038815,            0.046267,           0.0030414,           0.0096013,           0.0096013,           0.0096013
                  45,            0.042405,            0.051255,           0.0021869,             0.69858,             0.61851,             0.64824,             0.34876,            0.038522,            0.045702,           0.0030588,           0.0095828,           0.0095828,           0.0095828
                  46,             0.04225,              0.0511,           0.0020118,             0.73528,              0.6106,             0.64964,             0.34005,            0.038822,            0.045947,           0.0035052,            0.009564,            0.009564,            0.009564
                  47,            0.042173,            0.051093,           0.0020085,             0.73752,             0.63577,             0.67532,              0.3493,             0.03839,            0.045541,            0.003083,           0.0095448,           0.0095448,           0.0095448
                  48,            0.042519,            0.050992,           0.0020315,              0.7534,             0.59247,             0.65373,             0.34298,            0.038392,             0.04576,           0.0030141,           0.0095252,           0.0095252,           0.0095252
                  49,            0.042085,             0.05049,           0.0020093,             0.74408,              0.6331,             0.67392,             0.34633,            0.038324,             0.04545,           0.0032439,           0.0095052,           0.0095052,           0.0095052
                  50,            0.042192,            0.051787,           0.0020356,             0.74932,             0.64241,              0.6737,             0.35611,            0.038243,            0.045502,           0.0027583,           0.0094849,           0.0094849,           0.0094849
                  51,            0.041897,            0.050834,           0.0019654,             0.74735,             0.60983,             0.66855,             0.34915,            0.038445,            0.045628,           0.0030714,           0.0094641,           0.0094641,           0.0094641
                  52,            0.041721,            0.050212,           0.0018895,             0.74879,             0.64456,             0.68369,             0.36103,            0.038091,             0.04546,           0.0026615,            0.009443,            0.009443,            0.009443
                  53,            0.041613,            0.050243,           0.0019176,             0.72016,             0.64923,             0.67887,             0.35618,            0.038062,            0.045254,           0.0030489,           0.0094215,           0.0094215,           0.0094215
                  54,            0.041533,            0.050639,           0.0019553,             0.75043,             0.66681,             0.68952,             0.35904,            0.037989,            0.045235,           0.0032628,           0.0093996,           0.0093996,           0.0093996
                  55,            0.041696,            0.049995,           0.0019148,              0.7226,             0.66436,             0.69814,             0.36616,            0.037985,            0.045161,           0.0026631,           0.0093773,           0.0093773,           0.0093773
                  56,             0.04154,            0.050945,           0.0018871,             0.76974,             0.60845,             0.66539,             0.35589,            0.038042,            0.045427,           0.0029505,           0.0093547,           0.0093547,           0.0093547
                  57,            0.041555,            0.050271,           0.0017916,             0.78292,             0.65066,             0.69488,              0.3676,            0.037908,            0.044953,           0.0028665,           0.0093317,           0.0093317,           0.0093317
                  58,            0.041347,            0.050236,           0.0018106,             0.74233,             0.65538,             0.68942,             0.36543,            0.037945,            0.045232,           0.0027616,           0.0093083,           0.0093083,           0.0093083
                  59,            0.041398,            0.050309,           0.0018443,             0.75255,              0.6574,             0.70177,             0.36961,            0.037583,            0.044844,           0.0027662,           0.0092846,           0.0092846,           0.0092846
                  60,            0.041454,             0.04982,           0.0018319,             0.78504,             0.66444,             0.71718,             0.37556,            0.037649,            0.044815,           0.0026875,           0.0092605,           0.0092605,           0.0092605
                  61,            0.041109,            0.049522,           0.0018666,              0.7485,             0.68388,              0.7118,             0.37499,            0.037472,            0.044892,           0.0027496,           0.0092361,           0.0092361,           0.0092361
                  62,            0.041255,            0.050166,           0.0018365,             0.85025,             0.62569,             0.70239,             0.37139,             0.03755,            0.044987,           0.0027946,           0.0092113,           0.0092113,           0.0092113
                  63,            0.041195,            0.050181,           0.0017565,             0.76171,             0.68882,             0.71199,             0.37729,             0.03755,            0.044713,           0.0029442,           0.0091861,           0.0091861,           0.0091861
                  64,            0.041467,            0.050489,           0.0017966,             0.80275,             0.65388,             0.70994,             0.37943,            0.037552,            0.044998,           0.0027548,           0.0091606,           0.0091606,           0.0091606
                  65,            0.040723,            0.049654,           0.0018336,             0.81931,             0.66724,             0.71947,             0.37728,            0.037477,            0.044825,           0.0027623,           0.0091348,           0.0091348,           0.0091348
                  66,            0.040917,            0.049761,           0.0017177,             0.76213,             0.66811,             0.71255,             0.37524,            0.037268,            0.044545,            0.002761,           0.0091086,           0.0091086,           0.0091086
                  67,            0.041013,             0.04939,            0.001785,             0.72312,             0.67764,              0.7003,             0.37295,            0.037368,            0.044816,           0.0029568,           0.0090821,           0.0090821,           0.0090821
                  68,            0.040883,             0.04919,           0.0017663,             0.72082,             0.69202,             0.71051,             0.37996,            0.037213,            0.044747,           0.0024678,           0.0090552,           0.0090552,           0.0090552
                  69,            0.040222,            0.048736,           0.0017235,               0.776,             0.67442,             0.71573,             0.37755,            0.037387,            0.044777,            0.002401,            0.009028,            0.009028,            0.009028
                  70,            0.040853,            0.050182,           0.0016721,             0.81914,             0.65818,             0.71405,             0.38349,             0.03721,            0.044735,           0.0026469,           0.0090004,           0.0090004,           0.0090004
                  71,            0.040601,             0.05018,           0.0017124,             0.74476,             0.70993,             0.72623,              0.3842,            0.037112,            0.044471,           0.0027018,           0.0089726,           0.0089726,           0.0089726
                  72,            0.040878,            0.049689,            0.001725,             0.77258,             0.67705,             0.71669,             0.37884,            0.037281,             0.04472,           0.0025095,           0.0089444,           0.0089444,           0.0089444
                  73,            0.040529,            0.049946,           0.0015913,             0.81798,             0.67122,             0.72154,             0.38462,            0.037184,            0.044525,           0.0025937,           0.0089159,           0.0089159,           0.0089159
                  74,            0.040495,             0.05016,           0.0016343,             0.78989,             0.69121,             0.73479,             0.38777,            0.036981,            0.044358,           0.0026628,            0.008887,            0.008887,            0.008887
                  75,            0.040217,            0.049959,            0.001658,             0.79643,             0.68808,             0.73241,             0.38886,            0.036945,            0.044363,           0.0024016,           0.0088579,           0.0088579,           0.0088579
