               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10258,            0.034323,            0.027403,          0.00059528,            0.014979,          0.00031034,          7.8979e-05,            0.096305,            0.031982,            0.025322,             0.00116,             0.00116,             0.08956
                   1,            0.096516,            0.033654,            0.018045,            0.014826,            0.019059,           0.0062599,           0.0013954,            0.098805,            0.032982,            0.024571,           0.0023299,           0.0023299,             0.07903
                   2,             0.08445,            0.028335,            0.015409,             0.65263,            0.096556,            0.069565,            0.018502,            0.076603,            0.024245,            0.022433,           0.0034997,           0.0034997,              0.0685
                   3,            0.076128,            0.025625,            0.012832,              0.6125,             0.10052,            0.049861,            0.015023,            0.078255,             0.02856,            0.021869,           0.0046691,           0.0046691,            0.057969
                   4,            0.070438,            0.024489,            0.010457,             0.70695,             0.15503,             0.14898,            0.052786,            0.068656,            0.024113,            0.019914,            0.005838,            0.005838,            0.047438
                   5,            0.065707,            0.023404,           0.0090081,             0.47589,             0.25293,             0.20454,            0.073009,            0.060486,            0.018752,            0.014687,           0.0070062,           0.0070062,            0.036906
                   6,            0.061717,            0.022008,           0.0079878,             0.80542,             0.22419,             0.23385,            0.087404,            0.066727,            0.019021,            0.016202,           0.0081735,           0.0081735,            0.026374
                   7,            0.058494,            0.020813,           0.0069502,             0.75879,              0.2711,             0.22577,            0.076252,            0.061774,            0.017231,            0.012702,             0.00934,             0.00934,             0.01584
                   8,            0.055873,            0.020387,           0.0061886,             0.85025,             0.32812,             0.34225,             0.15063,            0.053214,            0.017549,            0.013112,            0.009986,            0.009986,            0.009986
                   9,            0.053275,            0.019862,           0.0056502,             0.89835,              0.3475,             0.38718,             0.17767,            0.049802,            0.016362,           0.0096377,            0.009986,            0.009986,            0.009986
                  10,            0.051443,            0.019136,           0.0048581,              0.9026,             0.38116,             0.43783,              0.2127,            0.046246,            0.015329,           0.0090335,           0.0099822,           0.0099822,           0.0099822
                  11,            0.049914,            0.018794,           0.0044777,             0.81718,             0.37474,             0.43659,             0.21149,            0.046715,            0.015237,           0.0087394,           0.0099781,           0.0099781,           0.0099781
                  12,            0.048553,            0.018394,           0.0040933,             0.81065,             0.37478,             0.42492,             0.20965,            0.046232,            0.015977,            0.012734,           0.0099735,           0.0099735,           0.0099735
                  13,            0.048183,            0.018583,           0.0038332,             0.49053,             0.48851,             0.48012,             0.24265,            0.045272,            0.014672,           0.0067329,           0.0099685,           0.0099685,           0.0099685
                  14,            0.047175,            0.018102,           0.0033604,             0.70313,             0.44541,             0.49199,              0.2551,            0.042851,            0.014856,           0.0079158,            0.009963,            0.009963,            0.009963
                  15,            0.046868,            0.017745,           0.0032861,             0.58488,             0.50521,             0.51925,             0.26937,              0.0424,            0.014612,           0.0065829,           0.0099571,           0.0099571,           0.0099571
                  16,            0.046466,            0.017433,           0.0032541,             0.47566,             0.54598,             0.51231,             0.26186,            0.042667,            0.014589,           0.0079961,           0.0099508,           0.0099508,           0.0099508
                  17,            0.045812,            0.017629,           0.0029526,             0.59155,             0.54279,             0.55225,             0.28399,            0.041405,            0.014141,           0.0052006,            0.009944,            0.009944,            0.009944
