               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.044064,            0.016783,            0.002131,             0.58554,             0.60411,             0.60904,             0.30883,            0.039709,            0.014303,           0.0032451,           0.0097491,           0.0097491,           0.0097491
                  36,            0.044006,            0.016504,           0.0021518,             0.63301,             0.58816,             0.60865,             0.31577,            0.039565,            0.014312,            0.004576,           0.0097343,           0.0097343,           0.0097343
                  37,            0.044132,            0.017091,           0.0021305,             0.63552,             0.60251,             0.63605,              0.3313,            0.039244,            0.014264,           0.0034124,           0.0097191,           0.0097191,           0.0097191
                  38,            0.043782,            0.016853,           0.0020137,             0.66885,             0.60361,             0.64495,             0.33339,            0.039293,             0.01427,           0.0039472,           0.0097035,           0.0097035,           0.0097035
                  39,            0.043712,            0.016532,           0.0020408,             0.70692,             0.57509,             0.63472,             0.33333,            0.039177,             0.01422,           0.0032092,           0.0096875,           0.0096875,           0.0096875
                  40,            0.043719,              0.0167,            0.002019,             0.67975,             0.60468,             0.64975,               0.345,            0.039093,            0.014218,           0.0034468,            0.009671,            0.009671,            0.009671
                  41,            0.043609,            0.016614,           0.0019788,             0.72934,             0.57959,             0.62824,             0.32872,            0.039375,            0.014193,            0.003879,           0.0096542,           0.0096542,           0.0096542
                  42,            0.043489,            0.016795,           0.0018736,             0.67571,              0.6408,             0.66975,             0.34415,            0.038843,            0.014069,           0.0032621,           0.0096369,           0.0096369,           0.0096369
                  43,             0.04324,            0.016581,           0.0018432,             0.71945,             0.63092,             0.66793,             0.34289,            0.038806,            0.014024,           0.0031809,           0.0096193,           0.0096193,           0.0096193
                  44,            0.043242,            0.016223,           0.0019026,             0.70962,             0.61951,             0.66263,             0.33528,            0.038939,            0.014169,           0.0033049,           0.0096013,           0.0096013,           0.0096013
                  45,            0.043325,            0.016546,           0.0018748,             0.74216,             0.61866,             0.66776,             0.34823,            0.038809,            0.014142,           0.0031471,           0.0095828,           0.0095828,           0.0095828
                  46,            0.042772,             0.01631,           0.0017964,              0.7413,             0.62318,              0.6809,             0.35824,            0.038545,            0.014001,           0.0033591,            0.009564,            0.009564,            0.009564
                  47,            0.043106,            0.016736,           0.0018552,             0.70212,             0.63615,             0.68024,             0.35641,            0.038407,            0.013969,            0.003119,           0.0095448,           0.0095448,           0.0095448
                  48,            0.042707,            0.016559,           0.0018072,             0.71662,             0.62462,             0.66422,             0.34941,            0.038318,            0.014003,           0.0030723,           0.0095252,           0.0095252,           0.0095252
                  49,            0.042787,            0.016323,           0.0018351,             0.69857,             0.66269,             0.68305,             0.35241,            0.038501,            0.014007,            0.003305,           0.0095052,           0.0095052,           0.0095052
                  50,            0.042575,            0.016466,           0.0017424,             0.68965,              0.6696,             0.68169,              0.3537,            0.038317,            0.013976,           0.0031588,           0.0094849,           0.0094849,           0.0094849
                  51,            0.042432,            0.016106,           0.0017948,             0.72275,               0.632,             0.67707,             0.35836,             0.03817,            0.013931,           0.0030924,           0.0094641,           0.0094641,           0.0094641
                  52,            0.042599,             0.01635,            0.001728,             0.72514,             0.63909,              0.6893,             0.36318,            0.038061,            0.013854,            0.003188,            0.009443,            0.009443,            0.009443
                  53,            0.042333,            0.016132,           0.0017087,             0.68539,             0.67243,             0.68838,             0.35571,            0.038096,             0.01384,           0.0030327,           0.0094215,           0.0094215,           0.0094215
