               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.051226,            0.019131,            0.011359,              0.5733,             0.45948,             0.46262,             0.20309,            0.046581,            0.014078,           0.0094366,           0.0097343,           0.0097343,           0.0097343
                  37,            0.051178,            0.019318,            0.011252,             0.57214,             0.45934,             0.46659,             0.20768,            0.046443,            0.014043,           0.0094122,           0.0097191,           0.0097191,           0.0097191
                  38,            0.050722,            0.019254,            0.011336,             0.56535,             0.48541,             0.47428,             0.21092,            0.046251,             0.01399,             0.00915,           0.0097035,           0.0097035,           0.0097035
                  39,             0.05076,            0.019258,             0.01095,             0.58643,              0.4742,             0.47475,             0.21483,            0.046063,            0.013981,           0.0091147,           0.0096875,           0.0096875,           0.0096875
                  40,            0.050554,            0.019058,            0.011098,             0.61906,             0.45313,             0.47628,              0.2153,            0.045712,            0.013936,           0.0091117,            0.009671,            0.009671,            0.009671
                  41,             0.05024,            0.018985,             0.01101,             0.59192,             0.47782,             0.47804,             0.21657,            0.045675,            0.013918,           0.0090613,           0.0096542,           0.0096542,           0.0096542
                  42,            0.050311,            0.019187,             0.01105,             0.58301,             0.48697,             0.48132,             0.21931,            0.045626,              0.0139,           0.0089128,           0.0096369,           0.0096369,           0.0096369
                  43,            0.050034,            0.018985,            0.010731,             0.58657,             0.48202,             0.48026,             0.22139,            0.045453,            0.013897,            0.008875,           0.0096193,           0.0096193,           0.0096193
                  44,            0.049823,            0.018903,            0.010448,             0.62482,             0.46867,             0.48622,             0.22368,            0.045307,            0.013875,           0.0088465,           0.0096013,           0.0096013,           0.0096013
                  45,            0.049455,            0.018633,            0.010495,             0.60906,             0.47788,             0.48757,             0.22241,            0.045158,            0.013834,           0.0088188,           0.0095828,           0.0095828,           0.0095828
                  46,            0.049746,            0.018805,            0.010539,             0.60513,             0.48383,             0.49003,             0.22505,            0.044995,            0.013811,           0.0087512,            0.009564,            0.009564,            0.009564
                  47,            0.049349,            0.018664,            0.010197,             0.63725,             0.46868,             0.49185,             0.22689,            0.044905,            0.013806,           0.0086864,           0.0095448,           0.0095448,           0.0095448
                  48,            0.049318,            0.018823,            0.010319,             0.60437,             0.48442,             0.49087,             0.22831,            0.044799,            0.013789,           0.0086199,           0.0095252,           0.0095252,           0.0095252
                  49,            0.049197,            0.018623,           0.0099738,              0.5932,             0.49993,             0.49504,             0.22961,            0.044655,            0.013768,           0.0085529,           0.0095052,           0.0095052,           0.0095052
                  50,            0.049141,            0.018701,            0.010314,              0.5886,             0.50772,             0.49733,             0.23176,             0.04449,            0.013757,           0.0085195,           0.0094849,           0.0094849,           0.0094849
                  51,            0.048675,            0.018646,           0.0097678,              0.6189,             0.48837,             0.49888,              0.2323,            0.044417,            0.013735,           0.0084721,           0.0094641,           0.0094641,           0.0094641
                  52,            0.048897,            0.018547,           0.0098779,             0.62097,             0.49265,             0.49896,             0.23377,            0.044311,            0.013711,            0.008412,            0.009443,            0.009443,            0.009443
                  53,            0.048583,            0.018701,           0.0098868,             0.62351,             0.48968,              0.5003,             0.23528,            0.044212,            0.013689,           0.0083403,           0.0094215,           0.0094215,           0.0094215
                  54,            0.048488,            0.018519,            0.009645,             0.63311,             0.48468,             0.50354,             0.23581,            0.044133,            0.013673,           0.0083021,           0.0093996,           0.0093996,           0.0093996
                  55,            0.048598,             0.01854,           0.0095927,             0.58816,             0.51188,             0.50351,             0.23623,            0.044098,            0.013666,           0.0082671,           0.0093773,           0.0093773,           0.0093773
                  56,            0.048315,            0.018392,           0.0096402,             0.60272,             0.50484,             0.50383,             0.23524,            0.044073,            0.013654,            0.008218,           0.0093547,           0.0093547,           0.0093547
                  57,             0.04806,            0.018302,           0.0096288,             0.60715,             0.50589,             0.50744,             0.23711,            0.044032,            0.013628,           0.0081556,           0.0093317,           0.0093317,           0.0093317
                  58,            0.048263,            0.018482,           0.0093997,             0.59099,             0.52217,             0.50927,             0.23795,            0.044001,            0.013609,           0.0081057,           0.0093083,           0.0093083,           0.0093083
                  59,            0.048147,            0.018389,           0.0093811,             0.60407,             0.51775,              0.5112,             0.23839,            0.043972,            0.013595,           0.0080797,           0.0092846,           0.0092846,           0.0092846
                  60,            0.047989,            0.018351,           0.0093361,             0.61283,             0.51319,             0.51421,             0.23893,            0.043955,            0.013578,           0.0080484,           0.0092605,           0.0092605,           0.0092605
                  61,            0.047801,            0.018386,           0.0090653,             0.61069,             0.51494,             0.51405,             0.23927,            0.043922,             0.01357,           0.0079967,           0.0092361,           0.0092361,           0.0092361
                  62,            0.048014,            0.018362,           0.0092672,             0.61236,             0.51668,             0.51527,             0.24004,            0.043889,            0.013561,            0.007959,           0.0092113,           0.0092113,           0.0092113
                  63,            0.047677,            0.018266,           0.0089234,             0.61413,             0.51803,             0.51704,             0.23997,            0.043854,            0.013545,           0.0079405,           0.0091861,           0.0091861,           0.0091861
                  64,            0.047567,            0.018388,           0.0091743,             0.61203,             0.52037,             0.51814,             0.24085,            0.043802,            0.013528,           0.0079177,           0.0091606,           0.0091606,           0.0091606
                  65,            0.047698,            0.018033,           0.0089507,             0.61184,              0.5216,             0.51967,             0.24118,            0.043749,            0.013517,           0.0078914,           0.0091348,           0.0091348,           0.0091348
                  66,            0.047373,            0.018109,           0.0088695,             0.61393,             0.52052,             0.51941,             0.24272,            0.043702,            0.013502,           0.0078682,           0.0091086,           0.0091086,           0.0091086
                  67,            0.047449,            0.018096,           0.0087341,             0.61279,             0.52202,             0.51971,             0.24323,            0.043651,             0.01349,           0.0078571,           0.0090821,           0.0090821,           0.0090821
                  68,            0.047531,            0.018139,           0.0088025,             0.61666,             0.52139,             0.52102,             0.24418,            0.043605,             0.01348,           0.0078433,           0.0090552,           0.0090552,           0.0090552
                  69,            0.047007,            0.018083,           0.0085892,             0.61154,             0.52332,             0.51993,              0.2447,             0.04357,            0.013473,            0.007836,            0.009028,            0.009028,            0.009028
                  70,            0.046957,            0.017981,           0.0085121,             0.60974,             0.52633,             0.52117,             0.24536,            0.043538,            0.013466,           0.0078234,           0.0090004,           0.0090004,           0.0090004
                  71,            0.047166,            0.017819,           0.0086988,             0.61023,             0.52717,             0.52206,             0.24564,            0.043502,            0.013456,           0.0078143,           0.0089726,           0.0089726,           0.0089726
                  72,            0.046742,            0.017979,           0.0084235,             0.62394,             0.51405,             0.52038,             0.24602,            0.043461,            0.013445,           0.0078119,           0.0089444,           0.0089444,           0.0089444
                  73,            0.046766,            0.017853,           0.0084049,             0.61839,             0.51907,              0.5207,             0.24629,            0.043413,            0.013437,           0.0078186,           0.0089159,           0.0089159,           0.0089159
                  74,            0.046704,            0.017804,           0.0084948,             0.61158,             0.52399,             0.52056,             0.24661,            0.043376,            0.013428,           0.0078217,            0.008887,            0.008887,            0.008887
                  75,            0.046529,            0.017935,           0.0084265,             0.61171,             0.52646,             0.52204,             0.24793,            0.043335,            0.013423,           0.0078183,           0.0088579,           0.0088579,           0.0088579
                  76,            0.046442,             0.01787,            0.008081,             0.61526,             0.52712,             0.52607,             0.24868,            0.043293,            0.013411,           0.0078149,           0.0088284,           0.0088284,           0.0088284
                  77,            0.046461,            0.018141,           0.0082989,             0.61679,             0.52612,             0.52578,             0.24887,            0.043256,            0.013403,           0.0078068,           0.0087987,           0.0087987,           0.0087987
                  78,            0.046153,            0.017749,           0.0081006,              0.6206,             0.52527,             0.52668,             0.24923,            0.043222,            0.013392,           0.0077993,           0.0087686,           0.0087686,           0.0087686
                  79,            0.046237,            0.017746,           0.0078075,             0.61702,             0.52926,             0.52762,             0.25054,             0.04318,            0.013386,           0.0077904,           0.0087382,           0.0087382,           0.0087382
                  80,            0.046095,              0.0178,           0.0080826,             0.61723,             0.52906,             0.52784,              0.2507,            0.043142,            0.013376,           0.0077889,           0.0087075,           0.0087075,           0.0087075
                  81,            0.046148,             0.01785,            0.008047,             0.62497,             0.52322,             0.52806,             0.25144,            0.043104,            0.013364,           0.0077903,           0.0086765,           0.0086765,           0.0086765
